ticker,error
ADAMO,all free sources failed: yfinance: no price data returned; akshare: no price data returned
ADCT,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
ADGM,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
ADMA,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
ADPT,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
ADSE,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
ADUR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
ADUS,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AEAQ,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AEAQU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AEC,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AEE,price_frame must contain a date column or a date-like index
AEHR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AENT,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AERO,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AESPU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AEXA,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AEZSW,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AFAR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AFARU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AFGD,price_frame must contain a date column or a date-like index
AFJK,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AFJKR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AFJKU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AFRI,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AFRM,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AGBK,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AGCC,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AGIG,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AGII,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AGIL,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AGIO,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AGMB,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AGNCZ,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AGNT,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AGPU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AGRZ,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
