ticker,error
AVNS,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AVO,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AVPT,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AVR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AVTA,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AVTR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AWX,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AXG,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AXIL,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AXIN,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AXINR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AXINU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AXON,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AXSM,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AXTA,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AXTI,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AYA,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AYRWFW,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
AZUL,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BABY,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BACC,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BACCR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BACCU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BAER,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BAM.WI,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BAND,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BANL,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BATL,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BATRA,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BAYA,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BAYAR,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BAYAU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BBAI,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BBBYW,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BBCO,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BBCQ,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BBCQU,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BBIO,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BBNX,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
BBOT,all free sources failed: yfinance: skipped after repeated failures; akshare: no price data returned
