ticker,episode_id,company_name,exchange,first_qualifying_start_date,first_qualifying_end_date,best_90d_start_date,best_90d_end_date,best_90d_return,episode_start_date,episode_end_date,num_qualifying_windows,data_quality,preliminary,notes
BORR,BORR_001,Borr Drilling,NYSE,2020-03-18,2020-06-16,2020-03-18,2020-06-16,15.875,2020-03-18,2020-06-16,1,POC,True,
BPYPN,BPYPN_002,BROOKFIELD PROPERTY PARTNERS LP(BM) 5.750% CUM RED PERP PFD SER 3 CL A,NASDAQ,2020-03-23,2020-06-22,2020-03-23,2020-06-22,15.417229421427265,2020-03-23,2020-06-22,1,POC,True,
BSBR,BSBR_003,桑坦德银行(巴西),NYSE,2015-03-13,2015-06-11,2015-03-13,2015-06-11,15.295252225519288,2015-03-13,2015-06-15,2,POC,True,
BSBR,BSBR_004,桑坦德银行(巴西),NYSE,2015-08-26,2015-11-24,2015-08-26,2015-11-24,32.963855421686745,2015-08-26,2015-11-24,1,POC,True,
BSBR,BSBR_005,桑坦德银行(巴西),NYSE,2015-12-10,2016-03-09,2015-12-10,2016-03-09,419.5263157894737,2015-12-10,2016-03-29,5,POC,True,
BSET,BSET_006,巴西特家具,NASDAQ,2020-03-20,2020-06-18,2020-05-07,2020-08-05,136.2,2020-03-20,2020-08-31,11,POC,True,
BSM,BSM_007,Black Stone Minerals,NYSE,2015-10-01,2015-12-30,2015-10-01,2015-12-30,14.07142857142857,2015-10-01,2015-12-30,1,POC,True,
BSM,BSM_008,Black Stone Minerals,NYSE,2016-01-13,2016-04-12,2016-03-09,2016-06-07,95.41666666666667,2016-01-13,2016-06-14,7,POC,True,
BSM,BSM_009,Black Stone Minerals,NYSE,2021-01-14,2021-04-14,2021-01-14,2021-04-14,36.25,2021-01-14,2021-04-14,1,POC,True,
BTE,BTE_010,Baytex Energy,NYSE,2020-09-08,2023-02-23,2020-10-30,2023-02-23,32.8303946263644,2020-09-08,2023-02-23,60,POC,True,
BTG,BTG_011,B2Gold,AMEX,2016-02-08,2016-05-09,2016-02-09,2016-05-09,86.39999999999999,2016-02-08,2016-05-10,3,POC,True,
