date,raw_close,adjusted_close,volume
2017-09-07,0.73,,1494.0
2017-09-08,1.41,,1171.0
2017-09-11,1.11,,1526.0
2017-09-12,1.2,,1612.0
2017-09-13,1.46,,1268.0
2017-09-14,1.46,,131.0
2017-09-15,1.65,,1092.0
2017-09-18,0.94,,529.0
2017-09-19,0.93,,160.0
2017-09-20,0.93,,5.0
2017-09-21,0.95,,216.0
2017-09-22,1.16,,1364.0
2017-09-25,1.16,,129.0
2017-09-26,1.15,,271.0
2017-09-27,1.15,,4383.0
2017-09-28,1.15,,1503.0
2017-09-29,1.15,,181.0
2017-10-02,1.15,,547.0
2017-10-03,0.96,,478.0
2017-10-04,0.86,,2255.0
2017-10-05,0.65,,481.0
2017-10-06,0.7,,318.0
2017-10-09,0.4,,1225.0
2017-10-10,0.4,,77.0
2017-10-11,0.4,,1424.0
2017-10-12,0.4,,128.0
2017-10-13,0.2,,3906.0
2017-10-16,0.2,,78.0
2017-10-17,0.35,,366.0
2017-10-18,0.45,,461.0
2017-10-19,0.16,,3160.0
2017-10-20,0.44,,9197.0
2017-10-23,0.15,,3052.0
2017-10-24,0.05,,1203.0
2017-10-25,0.05,,26.0
2017-10-26,0.05,,24.0
2017-10-27,0.05,,56.0
2017-10-30,0.1,,375.0
2017-10-31,0.08,,879.0
2017-11-01,-1.01,,14270.0
2017-11-02,-0.96,,1565.0
2017-11-03,-0.94,,1533.0
2017-11-06,-1.03,,1516.0
2017-11-07,-0.93,,3442.0
2017-11-08,-0.74,,663.0
2017-11-09,-0.85,,884.0
2017-11-10,-0.93,,1239.0
2017-11-13,-1.03,,1295.0
2017-11-14,-0.87,,1196.0
2017-11-15,-0.98,,6355.0
2017-11-16,-1.14,,3278.0
2017-11-17,-1.25,,2293.0
2017-11-20,-1.9,,720.0
2017-11-21,-1.9,,155.0
2017-11-22,-1.59,,2510.0
2017-11-24,-2.0,,299.0
2017-11-27,-1.86,,3870.0
2017-11-28,-1.8,,1778.0
2017-11-29,-1.96,,272.0
2017-11-30,-2.05,,404.0
2017-12-01,-1.92,,1435.0
2017-12-04,-1.85,,2994.0
2017-12-05,-1.83,,481.0
2017-12-06,-1.95,,2100.0
2017-12-07,-1.95,,139.0
2017-12-08,-1.96,,1803.0
2017-12-11,-1.86,,1234.0
2017-12-12,-1.94,,2672.0
2017-12-13,-1.87,,3096.0
2017-12-14,-1.98,,3493.0
2017-12-15,-1.76,,2283.0
2017-12-18,-2.14,,9170.0
2017-12-19,-2.0,,7152.0
2017-12-20,-2.09,,1069.0
2017-12-21,-2.03,,968.0
2017-12-22,-1.93,,11840.0
2017-12-26,-1.95,,4842.0
2017-12-27,-1.66,,1462.0
