ticker,company_name,exchange,start_date,target_end_date,end_date,start_price,end_price,return_90d,raw_start_price,raw_end_price,raw_return_90d,adjusted_start_price,adjusted_end_price,adjusted_return_90d,qualification_basis,quality_tier,needs_manual_review,market_cap_at_start,industry,episode_id,data_source,data_quality,preliminary,price_basis,notes
AACG,ATA Creativity Global,NASDAQ,2020-11-06,2021-02-04,2021-02-04,1.155,14.3,11.38095238095238,1.155,14.3,11.38095238095238,1.155,14.3,11.38095238095238,both,BOTH_QUALIFIED,False,,,AACG_001,opend,POC,True,dual,
ABEO,Abeona Therapeutics,NASDAQ,2022-04-04,2022-07-03,2022-07-05,0.329,4.08,11.401215805471123,0.329,4.08,11.401215805471123,8.225,4.08,-0.5039513677811549,raw,RAW_ONLY_REVIEW,True,,,ABEO_002,opend,POC,True,dual,raw/adjusted qualification mismatch
ABEO,Abeona Therapeutics,NASDAQ,2022-04-05,2022-07-04,2022-07-05,0.3411,4.08,10.961301671064204,0.3411,4.08,10.961301671064204,8.5275,4.08,-0.5215479331574318,raw,RAW_ONLY_REVIEW,True,,,ABEO_002,opend,POC,True,dual,raw/adjusted qualification mismatch
ABEO,Abeona Therapeutics,NASDAQ,2022-04-06,2022-07-05,2022-07-05,0.325,4.08,11.553846153846154,0.325,4.08,11.553846153846154,8.125,4.08,-0.4978461538461538,raw,RAW_ONLY_REVIEW,True,,,ABEO_002,opend,POC,True,dual,raw/adjusted qualification mismatch
ABEO,Abeona Therapeutics,NASDAQ,2022-04-07,2022-07-06,2022-07-06,0.3254,3.8,10.677934849416102,0.3254,3.8,10.677934849416102,8.135,3.8,-0.5328826060233558,raw,RAW_ONLY_REVIEW,True,,,ABEO_002,opend,POC,True,dual,raw/adjusted qualification mismatch
ABEO,Abeona Therapeutics,NASDAQ,2022-04-08,2022-07-07,2022-07-07,0.3033,4.52,13.90273656445763,0.3033,4.52,13.90273656445763,7.5825,4.52,-0.4038905374216947,raw,RAW_ONLY_REVIEW,True,,,ABEO_002,opend,POC,True,dual,raw/adjusted qualification mismatch
ABEO,Abeona Therapeutics,NASDAQ,2022-04-11,2022-07-10,2022-07-11,0.2846,5.56,18.53619114546732,0.2846,5.56,18.53619114546732,7.115,5.56,-0.2185523541813071,raw,RAW_ONLY_REVIEW,True,,,ABEO_002,opend,POC,True,dual,raw/adjusted qualification mismatch
ABEO,Abeona Therapeutics,NASDAQ,2022-04-12,2022-07-11,2022-07-11,0.2726,5.56,19.396184886280263,0.2726,5.56,19.396184886280263,6.815,5.56,-0.1841526045487895,raw,RAW_ONLY_REVIEW,True,,,ABEO_002,opend,POC,True,dual,raw/adjusted qualification mismatch
ABEO,Abeona Therapeutics,NASDAQ,2022-04-13,2022-07-12,2022-07-12,0.2765,5.46,18.746835443037973,0.2765,5.46,18.746835443037973,6.9125,5.46,-0.210126582278481,raw,RAW_ONLY_REVIEW,True,,,ABEO_002,opend,POC,True,dual,raw/adjusted qualification mismatch
ABEO,Abeona Therapeutics,NASDAQ,2022-04-14,2022-07-13,2022-07-13,0.2725,5.05,17.532110091743117,0.2725,5.05,17.532110091743117,6.8125,5.05,-0.2587155963302753,raw,RAW_ONLY_REVIEW,True,,,ABEO_002,opend,POC,True,dual,raw/adjusted qualification mismatch
ABEO,Abeona Therapeutics,NASDAQ,2022-04-18,2022-07-17,2022-07-18,0.2679,4.7,16.543859649122805,0.2679,4.7,16.543859649122805,6.6975,4.7,-0.2982456140350876,raw,RAW_ONLY_REVIEW,True,,,ABEO_002,opend,POC,True,dual,raw/adjusted qualification mismatch
ABEO,Abeona Therapeutics,NASDAQ,2022-04-19,2022-07-18,2022-07-18,0.2614,4.7,16.98010711553175,0.2614,4.7,16.98010711553175,6.535,4.7,-0.2807957153787299,raw,RAW_ONLY_REVIEW,True,,,ABEO_002,opend,POC,True,dual,raw/adjusted qualification mismatch
ABEO,Abeona Therapeutics,NASDAQ,2022-04-20,2022-07-19,2022-07-19,0.2564,4.86,17.954758190327613,0.2564,4.86,17.954758190327613,6.41,4.86,-0.2418096723868954,raw,RAW_ONLY_REVIEW,True,,,ABEO_002,opend,POC,True,dual,raw/adjusted qualification mismatch
ABEO,Abeona Therapeutics,NASDAQ,2022-04-21,2022-07-20,2022-07-20,0.246,5.08,19.65040650406504,0.246,5.08,19.65040650406504,6.15,5.08,-0.1739837398373984,raw,RAW_ONLY_REVIEW,True,,,ABEO_002,opend,POC,True,dual,raw/adjusted qualification mismatch
ABEO,Abeona Therapeutics,NASDAQ,2022-04-22,2022-07-21,2022-07-21,0.2492,5.1,19.46548956661316,0.2492,5.1,19.46548956661316,6.23,5.1,-0.1813804173354736,raw,RAW_ONLY_REVIEW,True,,,ABEO_002,opend,POC,True,dual,raw/adjusted qualification mismatch
ABEO,Abeona Therapeutics,NASDAQ,2022-04-25,2022-07-24,2022-07-25,0.24,4.29,16.875,0.24,4.29,16.875,6.0,4.29,-0.285,raw,RAW_ONLY_REVIEW,True,,,ABEO_002,opend,POC,True,dual,raw/adjusted qualification mismatch
ABEO,Abeona Therapeutics,NASDAQ,2022-04-26,2022-07-25,2022-07-25,0.2239,4.29,18.160339437248773,0.2239,4.29,18.160339437248773,5.5975,4.29,-0.2335864225100491,raw,RAW_ONLY_REVIEW,True,,,ABEO_002,opend,POC,True,dual,raw/adjusted qualification mismatch
ABEO,Abeona Therapeutics,NASDAQ,2022-04-27,2022-07-26,2022-07-26,0.22,4.0,17.181818181818183,0.22,4.0,17.181818181818183,5.5,4.0,-0.2727272727272727,raw,RAW_ONLY_REVIEW,True,,,ABEO_002,opend,POC,True,dual,raw/adjusted qualification mismatch
ABEO,Abeona Therapeutics,NASDAQ,2022-04-28,2022-07-27,2022-07-27,0.2222,3.91,16.596759675967597,0.2222,3.91,16.596759675967597,5.555,3.91,-0.296129612961296,raw,RAW_ONLY_REVIEW,True,,,ABEO_002,opend,POC,True,dual,raw/adjusted qualification mismatch
ABEO,Abeona Therapeutics,NASDAQ,2022-04-29,2022-07-28,2022-07-28,0.2065,4.14,19.048426150121063,0.2065,4.14,19.048426150121063,5.1625,4.14,-0.1980629539951574,raw,RAW_ONLY_REVIEW,True,,,ABEO_002,opend,POC,True,dual,raw/adjusted qualification mismatch
ABEO,Abeona Therapeutics,NASDAQ,2022-05-02,2022-07-31,2022-08-01,0.2156,3.9,17.089053803339517,0.2156,3.9,17.089053803339517,5.39,3.9,-0.2764378478664192,raw,RAW_ONLY_REVIEW,True,,,ABEO_002,opend,POC,True,dual,raw/adjusted qualification mismatch
ABEO,Abeona Therapeutics,NASDAQ,2022-05-03,2022-08-01,2022-08-01,0.21,3.9,17.571428571428573,0.21,3.9,17.571428571428573,5.25,3.9,-0.2571428571428571,raw,RAW_ONLY_REVIEW,True,,,ABEO_002,opend,POC,True,dual,raw/adjusted qualification mismatch
ABEO,Abeona Therapeutics,NASDAQ,2022-05-04,2022-08-02,2022-08-02,0.1999,3.91,18.559779889944974,0.1999,3.91,18.559779889944974,4.9975,3.91,-0.2176088044022009,raw,RAW_ONLY_REVIEW,True,,,ABEO_002,opend,POC,True,dual,raw/adjusted qualification mismatch
